Cluster_ID,Latitude,Longitude,Size_pixels,Area_km2,Risk_Level
1,11.49821,78.64305,20,0.2,MEDIUM
2,11.49103,78.66009,39,0.39,HIGH
3,11.49641,79.05022,5,0.05,MEDIUM
4,11.48386,78.69507,149,1.49,HIGH
5,11.49372,79.16861,13,0.13,MEDIUM
6,11.49283,79.15067,4,0.04,MEDIUM
7,11.49103,78.84484,6,0.06,MEDIUM
8,11.48296,78.72915,39,0.39,HIGH
9,11.48924,79.10404,8,0.08,MEDIUM
10,11.48027,79.00987,30,0.3,HIGH
11,11.47668,78.88161,75,0.75,HIGH
12,11.48027,79.11839,30,0.3,HIGH
13,11.48206,79.03587,4,0.04,MEDIUM
14,11.47937,78.8565,6,0.06,MEDIUM
15,11.46951,78.83139,32,0.32,HIGH
16,11.4704,78.91031,10,0.1,MEDIUM
17,11.4704,79.15695,24,0.24,HIGH
18,11.4713,78.79193,5,0.05,MEDIUM
19,11.46771,78.62063,13,0.13,MEDIUM
20,11.46951,79.1704,5,0.05,MEDIUM
21,11.46413,79.03946,15,0.15,MEDIUM
22,11.45964,78.80717,18,0.18,MEDIUM
23,11.45964,78.98744,12,0.12,MEDIUM
24,11.45874,78.77489,7,0.07,MEDIUM
25,11.46143,78.78296,4,0.04,MEDIUM
26,11.46054,78.83408,4,0.04,MEDIUM
27,11.45785,79.00987,8,0.08,MEDIUM
28,11.44978,78.63139,65,0.65,HIGH
29,11.43453,79.09058,935,9.35,HIGH
30,11.45336,78.74709,13,0.13,MEDIUM
31,11.44978,78.79462,18,0.18,MEDIUM
32,11.44709,78.86726,30,0.3,HIGH
33,11.43901,78.81704,156,1.56,HIGH
34,11.44798,79.1417,11,0.11,MEDIUM
35,11.44709,78.91839,4,0.04,MEDIUM
36,11.4426,78.96413,9,0.09,MEDIUM
37,11.44081,79.00897,24,0.24,HIGH
38,11.43812,78.76951,13,0.13,MEDIUM
39,11.43991,79.18296,4,0.04,MEDIUM
40,11.43363,78.60897,8,0.08,MEDIUM
41,11.43094,78.79013,7,0.07,MEDIUM
42,11.43274,78.83767,8,0.08,MEDIUM
43,11.42915,78.66457,10,0.1,MEDIUM
44,11.42646,78.94439,9,0.09,MEDIUM
45,11.42825,78.887,9,0.09,MEDIUM
46,11.42646,78.63857,4,0.04,MEDIUM
47,11.42556,78.75247,5,0.05,MEDIUM
48,11.42646,78.93184,5,0.05,MEDIUM
49,11.42197,79.13274,24,0.24,HIGH
50,11.42735,79.06099,5,0.05,MEDIUM
51,11.42377,78.9139,9,0.09,MEDIUM
52,11.42466,79.0287,6,0.06,MEDIUM
53,11.42646,79.14439,6,0.06,MEDIUM
54,11.41749,78.73004,19,0.19,MEDIUM
55,11.42197,78.63139,9,0.09,MEDIUM
56,11.413,78.85112,54,0.54,HIGH
57,11.41928,78.83677,8,0.08,MEDIUM
